Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Unai Marrero,es ESP,GK,21.0,2,142.0,71.0,4.2,1.6,1,90.0,1,1,52.0,36,0.5,2.0,3.0,-1.0,-0.63,-0.99,2.0,2.5,-0.6,-0.35,-0.47,Matches
Jon Magunacelaya,es ESP,"FW,MF",23.0,5,121.0,24.0,3.5,1.3,1,63.0,0,4,15.0,14,1.4,3.0,0.0,3.0,2.23,1.99,3.0,0.3,2.6,1.97,1.94,Matches
Alex Sola,es ESP,"DF,MF",24.0,2,30.0,15.0,0.9,0.3,0,0.0,0,2,15.0,1,1.0,0.0,1.0,-1.0,-3.0,-3.35,0.7,0.6,0.1,0.2,0.11,Matches
Alberto Dadie,es ESP,MF,21.0,1,28.0,28.0,0.8,0.3,0,0.0,0,1,28.0,0,0.0,1.0,0.0,1.0,3.21,2.92,0.9,0.1,0.8,2.73,2.65,Matches
Jon Martin,es ESP,DF,17.0,1,24.0,24.0,0.7,0.3,0,0.0,0,1,24.0,8,3.0,0.0,0.0,0.0,0.0,-0.32,0.2,0.0,0.2,0.64,0.55,Matches
Gaizka Ayesa,es ESP,GK,22.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bryan Fiabema,no NOR,FW,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aitor Fraga,es ESP,GK,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Karrikaburu,es ESP,FW,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Marín,es ESP,MF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto Navarro,es ESP,MF,21.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Rico,es ESP,DF,30.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iñaki Rupérez,es ESP,DF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.8,38,3420.0,90.0,100.0,38.0,418,80.0,241,178,23.0,271,1.58,51.0,39.0,12.0,0.32,0.0,44.9,41.3,3.6,0.1,0.0,0
Opponent Total,0,0,27.2,38,3420.0,90.0,100.0,38.0,418,80.0,239,175,20.0,237,1.11,39.0,51.0,-12.0,-0.32,0.0,41.3,44.9,-3.6,-0.1,0.0,0
