Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Diego Conde,es ESP,GK,25-237,40,39,3519,39.1,26,0.66,104,78,80.8,18,14,7,18,46.2,6,6,0,0,0.0,Matches
Dani Jiménez,es ESP,GK,34-108,4,3,261,2.9,1,0.34,8,7,87.5,2,0,1,2,66.7,0,0,0,0,0.0,Matches
Squad Total,0,0,28.3,42,42,3780,42.0,27,0.64,112,85,81.3,20,14,8,20,47.6,6,6,0,0,0.0,0
Opponent Total,0,0,27.6,42,42,3780,42.0,56,1.33,157,102,68.2,8,14,20,14,33.3,6,6,0,0,0.0,0
