Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Anthony Lopes,pt POR,GK,32.0,31,31,2790,31.0,49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0,Matches
Rémy Riou,fr FRA,GK,35.0,3,3,270,3.0,6,2.0,14,8,57.1,0,1,2,1,33.3,0,0,0,0,0.0,Matches
Squad Total,0,0,26.6,34,34,3060,34.0,55,1.62,169,114,69.8,16,5,13,10,29.4,6,4,1,1,20.0,0
Opponent Total,0,0,25.5,34,34,3060,34.0,49,1.44,172,124,73.8,13,5,16,7,20.6,4,4,0,0,0.0,0
