Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Maxence Caqueret,fr FRA,MF,23.0,34,3022.0,89.0,98.8,33.6,34,89.0,30,0,0.0,0,1.56,48.0,54.0,-6.0,-0.18,-0.18,49.5,51.1,-1.6,-0.05,2.09,Matches
Anthony Lopes,pt POR,GK,32.0,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,0.0,0,1.68,47.0,49.0,-2.0,-0.06,1.27,47.5,46.2,1.3,0.04,1.31,Matches
Jake O'Brien,ie IRL,DF,22.0,27,2369.0,88.0,77.4,26.3,27,88.0,26,0,0.0,4,1.78,44.0,42.0,2.0,0.08,1.12,41.7,36.9,4.8,0.18,1.14,Matches
Alexandre Lacazette,fr FRA,FW,32.0,29,2293.0,79.0,74.9,25.5,27,83.0,12,2,31.0,0,1.69,38.0,42.0,-4.0,-0.16,0.08,34.6,35.4,-0.8,-0.03,0.17,Matches
Clinton Mata,ao ANG,DF,30.0,28,2220.0,79.0,72.5,24.7,25,85.0,21,3,28.0,3,1.61,39.0,38.0,1.0,0.04,0.79,35.7,35.1,0.6,0.02,0.36,Matches
Nicolás Tagliafico,ar ARG,DF,30.0,25,2123.0,85.0,69.4,23.6,25,85.0,19,0,0.0,0,1.72,31.0,36.0,-5.0,-0.21,-0.12,33.2,38.0,-4.8,-0.2,-0.42,Matches
Duje Ćaleta-Car,hr CRO,DF,26.0,24,1993.0,83.0,65.1,22.1,22,90.0,21,2,7.0,3,1.83,35.0,32.0,3.0,0.14,0.89,33.2,35.3,-2.1,-0.09,-0.06,Matches
Ernest Nuamah,gh GHA,"FW,MF",19.0,29,1838.0,63.0,60.1,20.4,21,74.0,2,8,34.0,0,1.69,28.0,32.0,-4.0,-0.2,-0.05,31.6,33.1,-1.5,-0.07,0.0,Matches
Corentin Tolisso,fr FRA,MF,28.0,25,1741.0,70.0,56.9,19.3,21,76.0,8,4,36.0,2,1.72,19.0,28.0,-9.0,-0.47,-0.67,24.2,26.6,-2.3,-0.12,-0.11,Matches
Rayan Cherki,fr FRA,"MF,FW",19.0,33,1719.0,52.0,56.2,19.1,19,72.0,4,14,25.0,1,1.52,27.0,34.0,-7.0,-0.37,-0.43,29.7,28.3,1.4,0.07,0.33,Matches
Ainsley Maitland-Niles,eng ENG,"DF,MF",25.0,23,1432.0,62.0,46.8,15.9,16,80.0,9,7,21.0,6,1.78,28.0,32.0,-4.0,-0.25,-0.14,25.8,28.9,-3.1,-0.19,-0.22,Matches
Nemanja Matić,rs SRB,MF,34.0,15,1254.0,84.0,41.0,13.9,15,84.0,9,0,0.0,0,2.47,26.0,21.0,5.0,0.36,0.91,22.5,20.8,1.8,0.13,0.34,Matches
Sinaly Diomande,ci CIV,DF,22.0,10,889.0,89.0,29.1,9.9,10,89.0,9,0,0.0,6,0.6,5.0,16.0,-11.0,-1.11,-1.32,12.0,18.7,-6.7,-0.68,-0.85,Matches
Saïd Benrahma,dz ALG,"FW,MF",27.0,12,770.0,64.0,25.2,8.6,10,70.0,0,2,37.0,1,2.33,15.0,16.0,-1.0,-0.12,0.08,13.2,12.9,0.4,0.04,0.15,Matches
Sael Kumbedi,fr FRA,DF,18.0,17,924.0,54.0,30.2,10.3,8,88.0,7,9,24.0,10,0.82,6.0,15.0,-9.0,-0.88,-1.0,11.8,15.9,-4.1,-0.4,-0.46,Matches
Dejan Lovren,hr CRO,DF,34.0,10,718.0,72.0,23.5,8.0,8,86.0,4,2,14.0,11,1.3,13.0,14.0,-1.0,-0.13,0.07,11.1,10.9,0.1,0.01,0.12,Matches
Henrique,br BRA,DF,29.0,11,607.0,55.0,19.8,6.7,6,86.0,3,5,18.0,16,1.18,8.0,12.0,-4.0,-0.59,-0.52,8.8,9.4,-0.5,-0.08,-0.01,Matches
Skelly Alvero,fr FRA,MF,21.0,8,426.0,53.0,13.9,4.7,6,65.0,2,2,18.0,1,0.75,5.0,9.0,-4.0,-0.85,-0.78,6.5,6.8,-0.3,-0.06,0.02,Matches
Gift Orban,ng NGA,FW,21.0,13,474.0,36.0,15.5,5.3,5,62.0,0,8,20.0,3,2.15,10.0,6.0,4.0,0.76,1.11,8.7,8.0,0.7,0.13,0.25,Matches
Malick Fofana,be BEL,FW,18.0,17,559.0,33.0,18.3,6.2,4,67.0,1,13,22.0,0,2.18,17.0,8.0,9.0,1.45,1.99,12.0,8.2,3.8,0.62,0.84,Matches
Mama Samba Baldé,gw GNB,"FW,MF",27.0,20,551.0,28.0,18.0,6.1,4,63.0,0,16,19.0,3,1.25,9.0,5.0,4.0,0.65,1.01,13.6,7.3,6.3,1.03,1.34,Matches
Orel Mangala,be BEL,MF,25.0,8,398.0,50.0,13.0,4.4,4,73.0,1,4,27.0,3,2.63,11.0,4.0,7.0,1.58,2.02,7.4,8.2,-0.8,-0.19,-0.13,Matches
