Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Mike Maignan,fr FRA,GK,28.0,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2,Matches
Marco Sportiello,it ITA,GK,31.0,7.0,11,1,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4,Matches
Antonio Mirante,it ITA,GK,40.0,2.0,3,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25.0,29.4,17,1,5.9,1,0.51,11.9,Matches
Lapo Nava,it ITA,GK,19.0,0.0,1,0,0,0,0,0.9,0.5,-0.1,-2.83,1,1,100.0,1,0,100.0,43.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Matches
Squad Total,0,0,26.6,38.0,49,8,2,4,1,42.7,0.22,-5.3,-0.14,146,351,41.6,1248,233,22.9,0.0,273,23.8,26.9,440,43,9.8,46,1.21,0.0,0
Opponent Total,0,0,26.4,38.0,76,6,0,14,0,70.0,0.31,-6.0,-0.16,174,446,39.0,895,161,35.5,34.6,293,43.7,37.0,515,26,5.0,22,0.58,11.4,0
