D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2024-03-14,18:45,Europa Lg,Round of 16,Thu,Away,W,3,1,cz Slavia Prague,2.1,0.4,61,19334,Davide Calabria,4-2-3-1,Glenn Nyberg,Match Report,Leg 2 of 2; Milan won
2024-03-17,15:00,Serie A,Matchweek 29,Sun,Away,W,3,1,Hellas Verona,2.7,0.5,56,26165,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,0
2024-03-30,20:45,Serie A,Matchweek 30,Sat,Away,W,2,1,Fiorentina,3.1,1.4,55,34273,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,0
2024-04-06,15:00,Serie A,Matchweek 31,Sat,Home,W,3,0,Lecce,1.5,0.5,64,71576,Davide Calabria,4-2-3-1,Luca Massimi,Match Report,0
2024-04-11,21:00,Europa Lg,Quarter-finals,Thu,Home,L,0,1,it Roma,1.6,0.6,53,75023,Davide Calabria,4-2-3-1,Clément Turpin,Match Report,Leg 1 of 2
2024-04-14,15:00,Serie A,Matchweek 32,Sun,Away,D,3,3,Sassuolo,2.8,1.2,67,19199,Theo Hernández,4-2-3-1,Davide Massa,Match Report,0
2024-04-18,21:00,Europa Lg,Quarter-finals,Thu,Away,L,1,2,it Roma,1.0,1.4,63,66025,Davide Calabria,4-2-3-1,Szymon Marciniak,Match Report,Leg 2 of 2; Roma won
2024-04-22,20:45,Serie A,Matchweek 33,Mon,Home,L,1,2,Inter,2.2,2.0,52,75554,Davide Calabria,4-2-3-1,Andrea Colombo,Match Report,0
2024-04-27,18:00,Serie A,Matchweek 34,Sat,Away,D,0,0,Juventus,0.3,1.4,49,39845,Rafael Leão,4-2-3-1,Maurizio Mariani,Match Report,0
2024-05-05,18:00,Serie A,Matchweek 35,Sun,Home,D,3,3,Genoa,2.8,1.0,59,73901,Theo Hernández,4-2-3-1,Alessandro Prontera,Match Report,0
2024-05-11,20:45,Serie A,Matchweek 36,Sat,Home,W,5,1,Cagliari,3.3,1.5,66,70612,Ismaël Bennacer,4-2-3-1,Simone Sozza,Match Report,0
2024-05-18,20:45,Serie A,Matchweek 37,Sat,Away,L,1,3,Torino,1.9,0.9,60,24638,Ismaël Bennacer,4-3-3,Ermanno Feliciani,Match Report,0
2024-05-25,20:45,Serie A,Matchweek 38,Sat,Home,D,3,3,Salernitana,3.0,1.7,66,70831,Davide Calabria,4-2-3-1,Davide Di Marco,Match Report,0
