Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Zé Guilherme,br BRA,DF,19-096,4,88.0,22.0,12.2,1.0,1,53.0,0,3,12.0,1,0.75,1.0,0.0,1.0,1.02,1.73,0.6,1.7,-1.1,-1.16,-1.13,Matches
Nathan Fernandes,br BRA,"FW,MF",19-125,7,215.0,31.0,29.9,2.4,0,0.0,0,7,31.0,0,0.86,2.0,1.0,1.0,0.42,1.31,2.6,2.7,-0.1,-0.05,0.17,Matches
Nathan,br BRA,"FW,MF",28-099,3,28.0,9.0,3.9,0.3,0,0.0,0,3,9.0,5,0.0,1.0,0.0,1.0,3.21,3.86,1.2,0.6,0.6,2.01,2.27,Matches
Ronald,br BRA,MF,21-130,1,6.0,6.0,0.8,0.1,0,0.0,0,1,6.0,7,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,-0.2,-2.55,-2.41,Matches
Lucas Besozzi,ar ARG,MF,21-150,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Caio,br BRA,"DF,MF",30-308,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Chapecó,br BRA,GK,24-083,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Viery,br BRA,DF,19-170,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wesley,br BRA,DF,20-168,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.2,8,720.0,90.0,100.0,8.0,88,79.0,46,41,23.0,54,0.75,6.0,10.0,-4.0,-0.5,0.0,6.9,8.2,-1.3,-0.17,0.0,0
Opponent Total,0,0,27.8,8,720.0,90.0,100.0,8.0,88,79.0,50,38,26.0,58,2.25,10.0,6.0,4.0,0.5,0.0,8.2,6.9,1.3,0.17,0.0,0
