Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Vanja Milinković-Savić,rs SRB,GK,26.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,0.0,1,1.47,36.0,31.0,5.0,0.14,2.64,36.2,33.3,2.9,0.08,1.4,Matches
Raoul Bellanova,it ITA,DF,23.0,37,3046.0,82.0,89.1,33.8,36,84.0,17,1,10.0,0,1.41,30.0,33.0,-3.0,-0.09,-0.81,32.7,32.7,0.0,0.0,-0.08,Matches
Duván Zapata,co COL,FW,32.0,35,2880.0,82.0,84.2,32.0,34,84.0,21,1,27.0,0,1.49,31.0,26.0,5.0,0.16,0.99,33.4,27.2,6.2,0.19,1.18,Matches
Ricardo Rodríguez,ch SUI,DF,30.0,35,2772.0,79.0,81.1,30.8,34,81.0,22,1,29.0,2,1.43,29.0,27.0,2.0,0.06,0.34,28.7,29.2,-0.5,-0.01,-0.12,Matches
Nikola Vlašić,hr CRO,"MF,FW",25.0,33,2608.0,79.0,76.3,29.0,30,82.0,20,3,52.0,0,1.24,23.0,29.0,-6.0,-0.21,-0.87,28.3,28.5,-0.2,-0.01,-0.05,Matches
Alessandro Buongiorno,it ITA,DF,24.0,29,2527.0,87.0,73.9,28.1,29,87.0,26,0,0.0,1,1.52,29.0,22.0,7.0,0.25,0.95,30.1,27.4,2.6,0.09,0.33,Matches
Samuele Ricci,it ITA,MF,21.0,32,2395.0,75.0,70.0,26.6,28,82.0,19,4,24.0,2,1.44,27.0,25.0,2.0,0.08,0.25,24.5,26.8,-2.3,-0.09,-0.31,Matches
Adrien Tameze,cm CMR,"DF,MF",29.0,29,2146.0,74.0,62.7,23.8,25,81.0,14,4,30.0,3,1.38,22.0,22.0,0.0,0.0,0.0,25.1,23.6,1.5,0.06,0.15,Matches
Ivan Ilić,rs SRB,MF,22.0,31,2098.0,68.0,61.3,23.3,25,81.0,16,6,14.0,1,1.26,23.0,23.0,0.0,0.0,0.0,23.8,24.0,-0.2,-0.01,-0.04,Matches
Antonio Sanabria,py PAR,"FW,MF",27.0,35,2133.0,61.0,62.4,23.7,23,80.0,10,12,24.0,2,1.31,23.0,21.0,2.0,0.08,0.22,28.0,20.3,7.7,0.32,0.84,Matches
Valentino Lazaro,at AUT,"DF,MF",27.0,35,1994.0,57.0,58.3,22.2,21,84.0,12,14,16.0,2,1.37,19.0,22.0,-3.0,-0.14,-0.32,21.4,22.2,-0.8,-0.04,-0.1,Matches
Karol Linetty,pl POL,MF,28.0,28,1858.0,66.0,54.3,20.6,19,83.0,9,9,32.0,5,1.5,18.0,17.0,1.0,0.05,0.11,21.1,19.6,1.5,0.07,0.14,Matches
Mërgim Vojvoda,xk KVX,DF,28.0,28,1379.0,49.0,40.3,15.3,15,80.0,8,13,14.0,4,1.43,14.0,14.0,0.0,0.0,0.0,15.8,15.2,0.6,0.04,0.06,Matches
Adam Masina,ma MAR,DF,29.0,16,1024.0,64.0,29.9,11.4,10,87.0,7,6,26.0,1,1.31,10.0,12.0,-2.0,-0.18,-0.25,9.7,11.9,-2.2,-0.19,-0.28,Matches
Perr Schuurs,nl NED,DF,23.0,9,770.0,86.0,22.5,8.6,9,86.0,8,0,0.0,0,1.0,6.0,9.0,-3.0,-0.35,-0.45,6.2,9.4,-3.2,-0.37,-0.49,Matches
Koffi Djidji,ci CIV,DF,30.0,13,759.0,58.0,22.2,8.4,8,83.0,4,5,18.0,4,1.38,10.0,8.0,2.0,0.24,0.3,8.9,6.1,2.8,0.34,0.42,Matches
Pietro Pellegri,it ITA,FW,22.0,24,756.0,32.0,22.1,8.4,7,65.0,0,17,18.0,7,1.42,10.0,12.0,-2.0,-0.24,-0.31,6.0,12.5,-6.5,-0.78,-1.01,Matches
Matteo Lovato,it ITA,DF,23.0,13,544.0,42.0,15.9,6.0,6,76.0,4,7,13.0,2,1.38,6.0,7.0,-1.0,-0.17,-0.2,6.6,5.9,0.7,0.12,0.14,Matches
Demba Seck,sn SEN,MF,22.0,9,425.0,47.0,12.4,4.7,5,75.0,0,4,13.0,9,1.33,4.0,5.0,-1.0,-0.21,-0.24,4.0,5.3,-1.4,-0.29,-0.34,Matches
Gvidas Gineitis,lt LTU,MF,19.0,14,538.0,38.0,15.7,6.0,4,85.0,2,10,20.0,15,1.5,6.0,8.0,-2.0,-0.33,-0.4,5.4,8.0,-2.6,-0.43,-0.52,Matches
Nemanja Radonjić,rs SRB,"MF,FW",27.0,10,374.0,37.0,10.9,4.2,4,61.0,0,6,22.0,6,1.4,6.0,5.0,1.0,0.24,0.27,3.8,4.5,-0.7,-0.17,-0.19,Matches
David Okereke,ng NGA,"FW,MF",25.0,9,252.0,28.0,7.4,2.8,3,64.0,0,6,10.0,8,1.33,4.0,1.0,3.0,1.07,1.16,2.7,1.8,0.9,0.32,0.34,Matches
Saba Sazonov,ge GEO,DF,21.0,12,356.0,30.0,10.4,4.0,2,53.0,0,10,25.0,20,1.25,2.0,8.0,-6.0,-1.52,-1.69,1.8,6.0,-4.2,-1.06,-1.19,Matches
Luca Gemello,it ITA,GK,23.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,0.0,35,0.0,0.0,5.0,-5.0,-2.5,-2.64,1.5,4.1,-2.6,-1.32,-1.4,Matches
Brandon Soppy,fr FRA,DF,21.0,5,178.0,36.0,5.2,2.0,2,69.0,0,3,13.0,6,1.6,0.0,0.0,0.0,0.0,0.0,2.3,1.1,1.2,0.6,0.62,Matches
Yann Karamoh,fr FRA,"MF,FW",25.0,10,162.0,16.0,4.7,1.8,1,45.0,0,9,13.0,8,1.4,3.0,2.0,1.0,0.56,0.58,2.2,2.2,0.0,0.03,0.02,Matches
David Zima,cz CZE,DF,22.0,5,91.0,18.0,2.7,1.0,0,0.0,0,5,18.0,12,1.8,1.0,0.0,1.0,0.99,1.02,2.6,0.6,2.0,2.01,2.05,Matches
Zanos Savva,cy CYP,"DF,MF",17.0,2,28.0,14.0,0.8,0.3,0,0.0,0,2,14.0,17,1.5,2.0,0.0,2.0,6.43,6.48,1.0,0.4,0.6,1.91,1.92,Matches
Alessandro Dellavalle,it ITA,DF,19.0,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,3,3.0,2.0,0.0,2.0,12.0,12.05,0.4,0.1,0.3,1.67,1.67,Matches
Simone Verdi,it ITA,FW,31.0,1,4.0,4.0,0.1,0.0,0,0.0,0,1,4.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,3.63,3.63,Matches
