Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Vanja Milinković-Savić,rs SRB,GK,26.0,36,36,3240,36.0,31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0,Matches
Luca Gemello,it ITA,GK,23.0,2,2,180,2.0,5,2.5,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0,Matches
Squad Total,0,0,26.4,38,38,3420,38.0,36,0.95,143,107,79.7,13,14,11,18,47.4,7,7,0,0,0.0,0
Opponent Total,0,0,26.6,38,38,3420,38.0,36,0.95,123,88,72.4,11,14,13,17,44.7,2,2,0,0,0.0,0
