Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Joe Gomez,eng ENG,DF,26.0,32,1786.0,56.0,52.2,19.8,17,85.0,12,15,23.0,4,2.22,47.0,19.0,28.0,1.41,0.47,46.9,27.0,19.9,1.0,-0.22,Matches
Cody Gakpo,nl NED,"FW,MF",24.0,35,1649.0,47.0,48.2,18.3,17,73.0,3,18,23.0,0,2.23,52.0,20.0,32.0,1.75,1.09,46.4,23.8,22.6,1.23,0.24,Matches
Ibrahima Konaté,fr FRA,DF,24.0,22,1574.0,72.0,46.0,17.5,17,87.0,14,5,20.0,11,2.0,38.0,18.0,20.0,1.14,-0.08,41.3,21.9,19.4,1.11,0.01,Matches
Curtis Jones,eng ENG,MF,22.0,23,1167.0,51.0,34.1,13.0,14,70.0,4,9,20.0,4,1.96,31.0,17.0,14.0,1.08,-0.16,31.7,15.5,16.2,1.25,0.22,Matches
Diogo Jota,pt POR,FW,26.0,21,1145.0,55.0,33.5,12.7,14,71.0,3,7,22.0,1,2.29,34.0,10.0,24.0,1.89,1.06,28.5,14.0,14.5,1.14,0.05,Matches
Jarell Quansah,eng ENG,DF,20.0,17,1190.0,70.0,34.8,13.2,13,87.0,10,4,16.0,17,2.35,31.0,15.0,16.0,1.21,0.04,32.5,13.9,18.6,1.4,0.46,Matches
Ryan Gravenberch,nl NED,MF,21.0,26,1121.0,43.0,32.8,12.5,12,68.0,1,14,22.0,5,2.23,28.0,17.0,11.0,0.88,-0.45,27.0,15.0,12.0,0.96,-0.21,Matches
Harvey Elliott,eng ENG,"MF,FW",20.0,34,1352.0,40.0,39.5,15.0,11,77.0,4,23,22.0,4,2.15,41.0,13.0,28.0,1.86,1.12,37.2,18.6,18.6,1.24,0.22,Matches
Caoimhín Kelleher,ie IRL,GK,24.0,10,900.0,90.0,26.3,10.0,10,90.0,10,0,0.0,27,2.6,26.0,11.0,15.0,1.5,0.43,25.7,10.3,15.4,1.54,0.58,Matches
Conor Bradley,nir NIR,DF,20.0,11,753.0,68.0,22.0,8.4,10,73.0,2,1,20.0,8,2.36,18.0,7.0,11.0,1.31,0.17,18.7,7.3,11.3,1.35,0.32,Matches
Joël Matip,cm CMR,DF,31.0,10,781.0,78.0,22.8,8.7,9,84.0,6,1,25.0,4,2.3,20.0,9.0,11.0,1.27,0.11,16.6,11.3,5.3,0.61,-0.64,Matches
Kostas Tsimikas,gr GRE,DF,27.0,13,679.0,52.0,19.9,7.5,8,79.0,6,5,9.0,17,2.15,16.0,7.0,9.0,1.19,0.01,14.3,8.4,5.8,0.77,-0.41,Matches
Bobby Clark,eng ENG,MF,18.0,5,89.0,18.0,2.6,1.0,1,59.0,0,4,8.0,6,3.0,2.0,0.0,2.0,2.02,0.86,1.7,1.7,-0.1,-0.05,-1.19,Matches
Stefan Bajcetic,es ESP,MF,18.0,1,26.0,26.0,0.8,0.3,0,0.0,0,1,26.0,6,3.0,0.0,2.0,-2.0,-6.92,-8.17,0.8,0.9,-0.2,-0.58,-1.7,Matches
Ben Doak,sct SCO,FW,17.0,1,14.0,14.0,0.4,0.2,0,0.0,0,1,14.0,8,1.0,0.0,0.0,0.0,0.0,-1.19,0.0,0.0,0.0,0.24,-0.87,Matches
Jayden Danns,eng ENG,FW,17.0,2,9.0,5.0,0.3,0.1,0,0.0,0,2,5.0,4,3.0,2.0,0.0,2.0,20.0,18.87,0.6,0.1,0.5,4.56,3.47,Matches
Owen Beck,wls WAL,DF,20.0,1,8.0,8.0,0.2,0.1,0,0.0,0,1,8.0,0,3.0,1.0,0.0,1.0,11.25,10.09,0.3,0.9,-0.6,-6.87,-7.99,Matches
Thiago Alcántara,es ESP,MF,32.0,1,6.0,6.0,0.2,0.1,0,0.0,0,1,6.0,0,0.0,0.0,1.0,-1.0,-15.0,-16.21,0.0,0.0,0.0,-0.62,-1.73,Matches
James McConnell,eng ENG,MF,18.0,3,4.0,1.0,0.1,0.0,0,0.0,0,3,1.0,15,3.0,1.0,0.0,1.0,22.5,21.34,0.2,0.0,0.2,3.67,2.57,Matches
Kaide Gordon,eng ENG,FW,18.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-1.18,0.0,0.4,-0.4,-39.59,-40.7,Matches
Adrián,es ESP,GK,36.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luke Chambers,eng ENG,DF,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lewis Koumas,wls WAL,MF,17.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabian Mrozek,pl POL,GK,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Amara Nallo,eng ENG,DF,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Trey Nyoni,eng ENG,MF,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcelo Pitaluga,br BRA,GK,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Calum Scanlon,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.3,38,3420.0,90.0,100.0,38.0,418,82.0,248,166,20.0,176,2.16,86.0,41.0,45.0,1.18,0.0,87.8,45.7,42.0,1.11,0.0,0
Opponent Total,0,0,26.2,38,3420.0,90.0,100.0,38.0,418,82.0,273,143,19.0,197,0.58,41.0,86.0,-45.0,-1.18,0.0,45.7,87.8,-42.0,-1.11,0.0,0
