D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,20:00,Eredivisie,Matchweek 1,Sat,Home,W,4,1,Heracles Almelo,3.4,0.9,69,54029.0,Steven Bergwijn,4-3-3,Jeroen Manschot,Match Report,0
2023-08-19,16:30,Eredivisie,Matchweek 2,Sat,Away,D,2,2,Excelsior,2.8,1.6,68,4400.0,Steven Bergwijn,4-2-3-1,Dennis Higler,Match Report,0
2023-08-24,21:00,Europa Lg,Play-off round,Thu,Away,W,4,1,bg Ludogorets,0.0,0.0,59,9880.0,Steven Bergwijn,4-3-3,Marco Di Bello,Match Report,Leg 1 of 2
2023-08-31,20:00,Europa Lg,Play-off round,Thu,Home,L,0,1,bg Ludogorets,0.0,0.0,54,50900.0,Steven Bergwijn,4-3-3,Ivan Kružliak,Match Report,Leg 2 of 2; Ajax won
2023-09-03,14:30,Eredivisie,Matchweek 4,Sun,Away,D,0,0,Fortuna Sittard,0.6,1.2,65,12138.0,Josip Šutalo,4-2-3-1,Sander van der Eijk,Match Report,0
2023-09-17,14:30,Eredivisie,Matchweek 5,Sun,Away,L,1,3,Twente,0.9,3.1,53,30000.0,Steven Bergwijn,4-2-3-1,Danny Makkelie,Match Report,0
2023-09-21,21:00,Europa Lg,Group stage,Thu,Home,D,3,3,fr Marseille,2.6,2.4,52,53000.0,Steven Bergwijn,4-3-3,Maurizio Mariani,Match Report,0
2023-09-27,14:00,Eredivisie,Matchweek 6,Wed,Home,L,0,4,Feyenoord,0.3,2.5,62,0.0,Steven Berghuis,4-2-3-1,Serdar Gözübüyük,Match Report,0
2023-10-05,19:45,Europa Lg,Group stage,Thu,Away,D,1,1,gr AEK Athens,1.9,2.3,52,29524.0,Steven Bergwijn,4-3-3,Matej Jug,Match Report,0
2023-10-08,14:30,Eredivisie,Matchweek 8,Sun,Home,L,1,2,AZ Alkmaar,0.2,2.1,53,54028.0,Steven Bergwijn,4-3-3,Allard Lindhout,Match Report,0
2023-10-22,12:15,Eredivisie,Matchweek 9,Sun,Away,L,3,4,Utrecht,1.5,2.0,59,22198.0,Steven Bergwijn,4-3-3,Dennis Higler,Match Report,0
