Player,Nation,Pos,Age,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Matches
Andrea Consigli,it ITA,GK,36.0,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8,Matches
Alessio Cragno,it ITA,GK,29.0,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6,Matches
Squad Total,0,0,26.4,38.0,75,8,2,8,4,56.9,0.28,-14.1,-0.37,189,585,32.3,987,154,45.9,0.0,347,38.0,33.5,582,26,4.5,30,0.79,0.0,0
Opponent Total,0,0,26.6,38.0,43,7,0,2,1,41.7,0.23,-0.3,-0.01,148,391,37.9,1109,172,26.3,29.4,288,34.4,32.8,502,25,5.0,39,1.03,14.8,0
