Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Andrea Pinamonti,it ITA,FW,24.0,38,37,3076.0,34.2,11.0,1.0,12.0,9.0,2.0,3.0,4.0,0.0,8.9,6.6,1.9,8.4,17.0,45.0,165.0,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25,Matches
Andrea Consigli,it ITA,GK,36.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Armand Lauriente,fr FRA,FW,24.0,37,35,2908.0,32.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,5.7,5.7,4.0,9.7,125.0,99.0,268.0,0.15,0.12,0.28,0.15,0.28,0.18,0.12,0.3,0.18,0.3,Matches
Martin Erlic,hr CRO,DF,25.0,32,31,2618.0,29.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,19.0,78.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches
Kristian Thorstvedt,no NOR,MF,24.0,34,30,2397.0,26.6,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,4.4,4.4,1.6,5.9,30.0,130.0,94.0,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22,Matches
Matheus Henrique,br BRA,MF,25.0,31,27,2501.0,27.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,2.3,2.3,1.6,3.9,43.0,94.0,44.0,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14,Matches
Gian Marco Ferrari,it ITA,DF,31.0,31,25,2272.0,25.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,0.3,1.9,32.0,148.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,Matches
Jeremy Toljan,de GER,DF,28.0,25,24,2083.0,23.1,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,35.0,79.0,85.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.09,0.02,0.09,Matches
Daniel Boloca,ro ROU,MF,24.0,30,23,2022.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.5,0.5,0.4,0.9,27.0,109.0,17.0,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches
Domenico Berardi,it ITA,FW,28.0,17,17,1431.0,15.9,9.0,3.0,12.0,4.0,5.0,5.0,6.0,0.0,6.5,2.6,3.0,5.6,38.0,83.0,123.0,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.6,0.16,0.35,Matches
Marcus Pedersen,no NOR,DF,23.0,28,16,1613.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.1,1.2,43.0,31.0,90.0,0.0,0.11,0.11,0.0,0.11,0.01,0.06,0.06,0.01,0.06,Matches
Ruan,br BRA,DF,24.0,26,16,1516.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,0.6,1.1,8.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches
Josh Doig,sct SCO,DF,21.0,16,15,1343.0,14.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.1,1.3,30.0,33.0,45.0,0.0,0.13,0.13,0.0,0.13,0.01,0.08,0.09,0.01,0.09,Matches
Nedim Bajrami,al ALB,"MF,FW",24.0,28,15,1310.0,14.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,Matches
Matías Viña,uy URU,DF,25.0,15,13,1014.0,11.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,24.0,46.0,37.0,0.0,0.27,0.27,0.0,0.27,0.03,0.12,0.15,0.03,0.15,Matches
Mattia Viti,it ITA,DF,21.0,15,12,979.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,36.0,13.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,Matches
Uroš Račić,rs SRB,MF,25.0,22,8,820.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,5.0,37.0,11.0,0.11,0.11,0.22,0.11,0.22,0.09,0.03,0.13,0.09,0.13,Matches
Grégoire Defrel,mq MTQ,"FW,MF",32.0,20,7,757.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,7.0,17.0,42.0,0.12,0.24,0.36,0.12,0.36,0.12,0.14,0.26,0.12,0.26,Matches
Samu Castillejo,es ESP,"FW,MF",28.0,17,6,536.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.0,1.2,27.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.21,0.04,0.21,Matches
Cristian Volpato,it ITA,"MF,FW",19.0,22,5,645.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.4,1.9,34.0,53.0,49.0,0.14,0.0,0.14,0.14,0.14,0.07,0.19,0.26,0.07,0.26,Matches
Pedro Obiang,gq EQG,MF,31.0,8,5,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.15,0.01,0.15,Matches
Luca Lipani,it ITA,MF,18.0,8,5,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,6.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Marash Kumbulla,al ALB,DF,23.0,7,3,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessio Cragno,it ITA,GK,29.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Filippo Missori,it ITA,DF,19.0,8,2,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11,Matches
Maxime Lopez,fr FRA,MF,25.0,2,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Samuele Mulattieri,it ITA,"FW,MF",22.0,27,1,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,1.6,0.3,1.9,8.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.37,0.31,0.37,Matches
Emil Ceide,no NOR,"FW,MF",21.0,11,0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,12.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,Matches
Kevin Miranda,it ITA,DF,20.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
