Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Andrea Pinamonti,it ITA,FW,24.0,38,3076.0,81.0,89.9,34.2,37,83.0,13,1,8.0,0,0.79,40.0,63.0,-23.0,-0.67,1.68,34.7,53.2,-18.5,-0.54,0.32,Matches
Andrea Consigli,it ITA,GK,36.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,0.0,0,0.74,36.0,68.0,-32.0,-0.91,-0.91,35.9,56.6,-20.7,-0.59,-0.24,Matches
Armand Lauriente,fr FRA,FW,24.0,37,2908.0,79.0,85.0,32.3,35,82.0,15,2,18.0,0,0.81,37.0,55.0,-18.0,-0.56,1.9,34.7,48.5,-13.9,-0.43,0.97,Matches
Martin Erlic,hr CRO,DF,25.0,32,2618.0,82.0,76.5,29.1,31,83.0,22,1,45.0,3,0.91,38.0,47.0,-9.0,-0.31,2.27,32.6,41.5,-8.9,-0.31,1.13,Matches
Kristian Thorstvedt,no NOR,MF,24.0,34,2397.0,71.0,70.1,26.6,30,76.0,10,4,32.0,3,0.68,32.0,53.0,-21.0,-0.79,0.18,29.3,39.2,-9.8,-0.37,0.68,Matches
Matheus Henrique,br BRA,MF,25.0,31,2501.0,81.0,73.1,27.8,27,89.0,22,4,26.0,0,0.84,28.0,55.0,-27.0,-0.97,-0.48,27.1,45.1,-17.9,-0.65,-0.27,Matches
Gian Marco Ferrari,it ITA,DF,31.0,31,2272.0,73.0,66.4,25.2,25,88.0,24,6,11.0,6,0.77,24.0,47.0,-23.0,-0.91,-0.21,26.0,39.0,-13.0,-0.51,0.17,Matches
Jeremy Toljan,de GER,DF,28.0,25,2083.0,83.0,60.9,23.1,24,86.0,21,1,16.0,4,1.0,31.0,40.0,-9.0,-0.39,1.16,28.3,36.8,-8.4,-0.36,0.53,Matches
Daniel Boloca,ro ROU,MF,24.0,30,2022.0,67.0,59.1,22.5,23,80.0,13,7,26.0,4,0.93,29.0,42.0,-13.0,-0.58,0.64,24.8,37.3,-12.5,-0.56,0.04,Matches
Domenico Berardi,it ITA,FW,28.0,17,1431.0,84.0,41.8,15.9,17,84.0,10,0,0.0,1,1.12,24.0,27.0,-3.0,-0.19,1.12,21.0,23.7,-2.7,-0.17,0.7,Matches
Marcus Pedersen,no NOR,DF,23.0,28,1613.0,58.0,47.2,17.9,16,86.0,14,12,20.0,5,0.82,14.0,40.0,-26.0,-1.45,-1.15,15.7,28.4,-12.7,-0.71,-0.26,Matches
Ruan,br BRA,DF,24.0,26,1516.0,58.0,44.3,16.8,16,77.0,9,10,29.0,7,0.73,21.0,43.0,-22.0,-1.31,-0.83,17.0,35.0,-18.0,-1.07,-0.89,Matches
Josh Doig,sct SCO,DF,21.0,16,1343.0,84.0,39.3,14.9,15,87.0,11,1,45.0,1,0.63,14.0,32.0,-18.0,-1.21,-0.6,13.8,23.8,-10.0,-0.67,-0.16,Matches
Nedim Bajrami,al ALB,"MF,FW",24.0,28,1310.0,47.0,38.3,14.6,15,66.0,1,13,24.0,8,0.82,20.0,35.0,-15.0,-1.03,-0.31,15.6,29.1,-13.5,-0.93,-0.58,Matches
Matías Viña,uy URU,DF,25.0,15,1014.0,68.0,29.6,11.3,13,72.0,3,2,41.0,0,1.0,16.0,15.0,1.0,0.09,1.32,13.5,18.5,-5.0,-0.44,0.18,Matches
Mattia Viti,it ITA,DF,21.0,15,979.0,65.0,28.6,10.9,12,74.0,5,3,30.0,13,0.87,12.0,22.0,-10.0,-0.92,-0.11,9.6,16.1,-6.5,-0.6,-0.04,Matches
Uroš Račić,rs SRB,MF,25.0,22,820.0,37.0,24.0,9.1,8,69.0,1,14,19.0,10,0.73,5.0,21.0,-16.0,-1.76,-1.2,6.0,16.5,-10.4,-1.14,-0.75,Matches
Grégoire Defrel,mq MTQ,"FW,MF",32.0,20,757.0,38.0,22.1,8.4,7,72.0,0,13,20.0,6,0.8,8.0,15.0,-7.0,-0.83,0.01,8.7,13.1,-4.4,-0.52,0.07,Matches
Samu Castillejo,es ESP,"FW,MF",28.0,17,536.0,32.0,15.7,6.0,6,60.0,0,11,16.0,8,0.71,8.0,12.0,-4.0,-0.67,0.2,6.8,8.6,-1.8,-0.29,0.33,Matches
Cristian Volpato,it ITA,"MF,FW",19.0,22,645.0,29.0,18.9,7.2,5,58.0,0,17,21.0,15,0.27,8.0,16.0,-8.0,-1.12,-0.34,10.0,11.7,-1.6,-0.23,0.42,Matches
Pedro Obiang,gq EQG,MF,31.0,8,453.0,57.0,13.2,5.0,5,78.0,2,3,21.0,11,0.75,6.0,13.0,-7.0,-1.39,-0.63,4.8,8.7,-3.9,-0.77,-0.23,Matches
Luca Lipani,it ITA,MF,18.0,8,384.0,48.0,11.2,4.3,5,68.0,0,3,14.0,23,0.63,5.0,5.0,0.0,0.0,0.95,4.4,6.1,-1.7,-0.4,0.2,Matches
Marash Kumbulla,al ALB,DF,23.0,7,362.0,52.0,10.6,4.0,3,82.0,2,4,29.0,9,1.0,3.0,10.0,-7.0,-1.74,-1.0,2.4,8.2,-5.7,-1.43,-0.96,Matches
Alessio Cragno,it ITA,GK,29.0,3,270.0,90.0,7.9,3.0,3,90.0,3,0,0.0,34,1.33,7.0,7.0,0.0,0.0,0.91,4.0,5.0,-1.1,-0.36,0.24,Matches
Filippo Missori,it ITA,DF,19.0,8,266.0,33.0,7.8,3.0,2,66.0,0,6,22.0,26,0.88,1.0,6.0,-5.0,-1.69,-0.92,1.6,4.3,-2.7,-0.91,-0.37,Matches
Maxime Lopez,fr FRA,MF,25.0,2,140.0,70.0,4.1,1.6,2,70.0,1,0,0.0,0,0.0,0.0,3.0,-3.0,-1.93,-1.13,0.5,3.0,-2.4,-1.56,-1.03,Matches
