Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Sepp van den Berg,nl NED,DF,21.0,33,2839.0,86.0,92.8,31.5,31,90.0,30,2,27.0,0,1.03,36.0,46.0,-10.0,-0.32,0.5,42.0,41.8,0.2,0.01,0.03,Matches
Robin Zentner,de GER,GK,28.0,30,2700.0,90.0,88.2,30.0,30,90.0,30,0,0.0,0,1.1,38.0,48.0,-10.0,-0.33,0.17,38.4,41.5,-3.2,-0.11,-0.94,Matches
Leandro Barreiro Martins,lu LUX,MF,23.0,31,2606.0,84.0,85.2,29.0,29,88.0,26,2,29.0,0,1.1,36.0,38.0,-2.0,-0.07,1.91,38.9,34.4,4.5,0.15,1.0,Matches
Anthony Caci,fr FRA,DF,26.0,31,2486.0,80.0,81.2,27.6,29,84.0,20,2,19.0,0,1.06,32.0,45.0,-13.0,-0.47,-0.63,35.9,37.9,-1.9,-0.07,-0.4,Matches
Dominik Kohr,de GER,"DF,MF",29.0,31,2184.0,70.0,71.4,24.3,27,79.0,16,4,10.0,0,1.06,24.0,34.0,-10.0,-0.41,-0.21,29.0,26.1,2.9,0.12,0.4,Matches
Lee Jae-sung,kr KOR,"MF,FW",30.0,29,2113.0,73.0,69.1,23.5,24,79.0,6,5,43.0,0,1.1,33.0,32.0,1.0,0.04,1.28,33.0,26.2,6.8,0.29,0.92,Matches
Phillipp Mwene,at AUT,DF,29.0,23,1996.0,87.0,65.2,22.2,23,87.0,16,0,0.0,2,1.09,24.0,27.0,-3.0,-0.14,0.63,30.7,28.7,2.1,0.09,0.25,Matches
Brajan Gruda,de GER,"MF,FW",19.0,28,1641.0,59.0,53.6,18.2,19,76.0,2,9,21.0,1,1.0,22.0,28.0,-6.0,-0.33,0.05,27.2,26.0,1.2,0.07,0.13,Matches
Jonathan Burkardt,de GER,"FW,MF",23.0,21,1538.0,73.0,50.3,17.1,18,82.0,10,3,22.0,0,1.19,24.0,20.0,4.0,0.23,1.18,25.2,20.8,4.4,0.26,0.5,Matches
Karim Onisiwo,at AUT,"FW,MF",31.0,24,1493.0,62.0,48.8,16.6,17,81.0,6,7,18.0,2,0.88,13.0,21.0,-8.0,-0.48,-0.25,15.4,18.4,-3.0,-0.18,-0.37,Matches
Ludovic Ajorque,fr FRA,FW,29.0,26,1360.0,52.0,44.4,15.1,15,80.0,9,11,14.0,6,1.04,13.0,26.0,-13.0,-0.86,-0.91,20.6,20.9,-0.2,-0.01,-0.03,Matches
Nadiem Amiri,de GER,MF,26.0,15,1315.0,88.0,43.0,14.6,15,88.0,11,0,0.0,0,1.53,23.0,20.0,3.0,0.21,0.98,23.3,21.7,1.6,0.11,0.18,Matches
