Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
Marcel Schuhen,de GER,GK,30.0,31,31,2790,31.0,76,2.45,198,123,62.1,3,7,21,3,9.7,2,1,1,0,50.0,Matches
Alexander Brunst,de GER,GK,28.0,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.1,34,34,3060,34.0,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0,0
Opponent Total,0,0,26.7,34,34,3060,34.0,30,0.88,113,85,76.1,23,8,3,17,50.0,3,3,0,0,0.0,0
